CODES,DESCRIPTION,UNIT_1_TAX,UNIT_2_TAX,UNIT_3_TAX,UNIT,WEIGHT,STD,IM_STD,EX_STD
87019490004,Other tractors,5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",15 PERCENT,NIU,KGM,T* ,,
87019510000,"Tractors, winch, wheel type",5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",10 PERCENT,NIU,KGM,T* ,,
87019520008,"Tractors, for agricultural use",0 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",0 PERCENT,NIU,KGM,N ,,
87019590003,Other tractors,5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",15 PERCENT,NIU,KGM,T* ,,
87021020009,"Low chassis bus, without steps and ladders at the vehicle door entrance , for which the height from the ground to the floor does not exceed 35 cm",15 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",42 PERCENT,NIU,KGM,T* ,MW0 ,
87021090004,"Other, with compression-ignition internal combustion piston engine (diesel or semi-diesel)",25 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",42 PERCENT,NIU,KGM,T* ,MW0 ,
87022010009,"Low chassis bus, without steps and ladders at the vehicle door entrance , for which the height from the ground to the floor does not exceed 35 cm",15 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",42 PERCENT,NIU,KGM,T* ,MW0 ,
87022020007,Hybrid electric-petroleum bus,25 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",42 PERCENT,NIU,KGM,T* ,MW0 ,
87022090002,"Other motor vehicles for the transport of ten or more persons (including the driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion",25 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",42 PERCENT,NIU,KGM,T* ,MW0 ,
87023010007,"Low chassis bus, without steps and ladders at the vehicle door entrance , for which the height from the ground to the floor does not exceed 35 cm",15 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",42 PERCENT,NIU,KGM,T* ,MW0 ,
87023020005,Hybrid electric-petroleum bus,25 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",42 PERCENT,NIU,KGM,T* ,MW0 ,
87023090000,"Other motor vehicles for the transport of ten or more persons (including the driver), with both spark-ignition internal combustion piston engine and electric motor as motors for propulsion",25 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",42 PERCENT,NIU,KGM,T* ,MW0 ,
87024010005,"Low chassis bus, without steps and ladders at the vehicle door entrance , for which the height from the ground to the floor does not exceed 35 cm",15 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",42 PERCENT,NIU,KGM,T* ,MW0 ,
87024020003,Electric bus,25 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",42 PERCENT,NIU,KGM,T* ,MW0 ,
87024090008,"Other motor vehicles for the transport of ten or more persons (including the driver), with only electric motor for propulsion",25 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",42 PERCENT,NIU,KGM,T* ,MW0 ,
87029010004,Gas bus,10 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",42 PERCENT,NIU,KGM,T* ,MW0,
87029030000,Airfield passenger buses,0 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",42 PERCENT,NIU,KGM,T* N ,,
87029090007,"Other motor vehicles for the transport of ten or more persons, including the driver",25 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",42 PERCENT,NIU,KGM,T* ,MW0,
87031000002,Vehicles specially designed for travelling on snow; golf cars and similar vehicles,15 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",30 PERCENT,NIU,KGM,T* L* ,,
87032110007,"Sedan (including convertible, sports) and station wagons, of a cylinder capacity not exceeding 1,000 cc",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0,
87032190108,All terrain vehicle,17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,,
87032190901,"Other passenger cars, of a cylinder capacity not exceeding 1,000 c.c.",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0 ,
87032210006,"Sedan (including convertible, sports) and station wagons, of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0,
87032290009,"Other passenger cars, of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0,
87032310005,"Sedan (including convertible, sports) and station wagons, of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0,
87032390008,"Other passenger cars, of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0,
87032410004,"Sedan (including convertible, sports) and station wagons, of a cylinder capacity exceeding 3,000 cc",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0,
87032490007,"Other passenger cars, of a cylinder capacity exceeding 3,000 cc",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0,
87033110005,"Sedan (including convertible, sports) and station wagons, of a cylinder capacity not exceeding 1,500 cc",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0,
87033190008,"Other passenger cars, of a cylinder capacity not exceeding 1,500 cc",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0,
87033210004,"Sedan (including convertible, sports) and station wagons, of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0,
